linea;nodo_1;nodo_2;distancia;descripcion;tipodia;hora_desde;hora_hasta;tr_optimo;tr_minimo;tr_maximo;trayecto;sentido;secuencia;tipo_arco;
27;La Campiña A - 2;Banderas T1;26311;F19 Banderas;Habil;05:30:00;06:30:00;01:10:50;01:08:34;01:12:51;1523;2;2;1;
27;La Campiña A - 2;Banderas T1;26311;F19 Banderas;Habil;06:30:00;08:00:00;01:08:36;01:05:59;01:10:02;1523;2;2;1;
27;La Campiña A - 2;Banderas T1;26311;F19 Banderas;Habil;08:00:00;09:00:00;01:11:04;01:08:37;01:12:34;1523;2;2;1;
27;La Campiña A - 2;Banderas T1;26311;F19 Banderas;Habil;09:00:00;16:00:00;01:03:25;01:00:45;01:05:03;1523;2;2;1;
27;La Campiña A - 2;Banderas T1;26311;F19 Banderas;Habil;16:00:00;17:00:00;01:16:35;01:13:26;01:18:48;1523;2;2;1;
27;La Campiña A - 2;Banderas T1;26311;F19 Banderas;Habil;17:00:00;18:30:00;01:10:35;01:07:04;01:14:07;1523;2;2;1;
27;La Campiña A - 2;Banderas T1;26311;F19 Banderas;Habil;18:30:00;19:30:00;01:06:55;01:03:48;01:08:48;1523;2;2;1;
27;La Campiña A - 2;Banderas T1;26311;F19 Banderas;Habil;19:30:00;20:30:00;01:06:38;01:02:28;01:08:19;1523;2;2;1;
27;La Campiña A - 2;Banderas T1;26311;F19 Banderas;Habil;20:30:00;30:00:00;01:02:40;00:58:59;01:04:35;1523;2;2;1;
39;Portal Américas T3 B;NQS - Calle 75 B - 4 ó 6;19120;E32 NQS-CL 75;Habil;01:00:00;05:30:00;00:42:30;00:40:15;00:43:15;1480;1;1;1;
39;Portal Américas T3 B;NQS - Calle 75 B - 4 ó 6;19120;E32 NQS-CL 75;Habil;05:30:00;06:30:00;00:44:00;00:42:00;00:45:15;1480;1;1;1;
39;Portal Américas T3 B;NQS - Calle 75 B - 4 ó 6;19120;E32 NQS-CL 75;Habil;06:30:00;08:00:00;00:44:00;00:41:45;00:45:30;1480;1;1;1;
39;Portal Américas T3 B;NQS - Calle 75 B - 4 ó 6;19120;E32 NQS-CL 75;Habil;08:00:00;09:00:00;00:43:30;00:41:15;00:45:15;1480;1;1;1;
39;Portal Américas T3 B;NQS - Calle 75 B - 4 ó 6;19120;E32 NQS-CL 75;Habil;09:00:00;16:00:00;00:43:30;00:40:15;00:45:30;1480;1;1;1;
39;Portal Américas T3 B;NQS - Calle 75 B - 4 ó 6;19120;E32 NQS-CL 75;Habil;16:00:00;17:00:00;00:43:30;00:40:15;00:45:30;1480;1;1;1;
39;Portal Américas T3 B;NQS - Calle 75 B - 4 ó 6;19120;E32 NQS-CL 75;Habil;17:00:00;18:30:00;00:43:30;00:40:15;00:45:30;1480;1;1;1;
39;Portal Américas T3 B;NQS - Calle 75 B - 4 ó 6;19120;E32 NQS-CL 75;Habil;18:30:00;19:30:00;00:43:30;00:40:15;00:45:30;1480;1;1;1;
39;Portal Américas T3 B;NQS - Calle 75 B - 4 ó 6;19120;E32 NQS-CL 75;Habil;19:30:00;20:30:00;00:43:30;00:40:15;00:45:30;1480;1;1;1;
39;Portal Américas T3 B;NQS - Calle 75 B - 4 ó 6;19120;E32 NQS-CL 75;Habil;20:30:00;30:00:00;00:43:30;00:40:15;00:45:30;1480;1;1;1;
39;NQS - Calle 75 A - 1;Portal Américas T3 B;18310;F32 P.AMERICAS;Habil;01:00:00;05:30:00;00:59:45;00:45:45;01:11:15;1481;1;1;1;
39;NQS - Calle 75 A - 1;Portal Américas T3 B;18310;F32 P.AMERICAS;Habil;05:30:00;06:30:00;00:59:45;00:45:45;01:11:15;1481;1;1;1;
39;NQS - Calle 75 A - 1;Portal Américas T3 B;18310;F32 P.AMERICAS;Habil;06:30:00;08:00:00;00:59:45;00:45:45;01:11:15;1481;1;1;1;
39;NQS - Calle 75 A - 1;Portal Américas T3 B;18310;F32 P.AMERICAS;Habil;08:00:00;09:00:00;00:59:45;00:45:45;01:11:15;1481;1;1;1;
39;NQS - Calle 75 A - 1;Portal Américas T3 B;18310;F32 P.AMERICAS;Habil;09:00:00;16:00:00;00:59:45;00:45:45;01:11:15;1481;1;1;1;
39;NQS - Calle 75 A - 1;Portal Américas T3 B;18310;F32 P.AMERICAS;Habil;16:00:00;17:00:00;00:48:30;00:45:45;00:49:30;1481;1;1;1;
39;NQS - Calle 75 A - 1;Portal Américas T3 B;18310;F32 P.AMERICAS;Habil;17:00:00;18:30:00;00:56:00;00:51:45;00:58:45;1481;1;1;1;
39;NQS - Calle 75 A - 1;Portal Américas T3 B;18310;F32 P.AMERICAS;Habil;18:30:00;19:30:00;01:06:00;00:59:30;01:09:15;1481;1;1;1;
39;NQS - Calle 75 A - 1;Portal Américas T3 B;18310;F32 P.AMERICAS;Habil;19:30:00;20:30:00;01:08:00;01:01:30;01:11:15;1481;1;1;1;
39;NQS - Calle 75 A - 1;Portal Américas T3 B;18310;F32 P.AMERICAS;Habil;20:30:00;30:00:00;00:59:45;00:45:45;01:11:15;1481;1;1;1;
